Nome,Setor,Bairro,Cidade,CEP,Endereço,Telefone,Estado,E-mail
"         Santa Rita de Cássia – Vila Hauer        "," Setor Boqueirão"," Vila Hauer"," Curitiba"," 81.630-090"," Rua Padre Dehon, nº 728"," (41) 3276-2075 Fax: (41) 3276-2075"," Paraná"," santaritahauer@mitradecuritiba.org.br"
"         Santo Antonio – Uberaba        "," Setor Boqueirão"," Uberaba"," Curitiba"," 81.560-360"," Rua Augusto Zibarth, nº 214"," (41) 3286-6366 Fax: (41) 3286-6366"," Paraná"," antonio214@mitradecuritiba.org.br"
"         Santo Antonio Maria Claret – Boqueirão        "," Setor Boqueirão"," Boqueirão"," Curitiba"," 81.750-320"," Rua Pe. Simão Kalinowski, nº 180"," (41) 3085-2827 Fax: (41) 3085-2827"," Paraná"," claret128@mitradecuritiba.org.br"
"         São José Operário – Alto Boqueirão        "," Setor Boqueirão"," Alto Boqueirão"," Curitiba"," 81.770-000"," Rua Francisco Derosso, nº 5500"," (41) 3378-1011 Fax: (41) 3378-1011"," Paraná"," psjo@ mitradecuritiba.org.br"
"         São Judas Tadeu – Vila Hauer        "," Setor Boqueirão"," Vila Hauer"," Curitiba"," 81.650-040"," Rua Carlos de Laet, nº 2495"," (41) 3276-4021 Fax: (41) 3276-4021"," Paraná"," saojudas@mitradecuritiba.org.br"
"         São Paulo Apóstolo – Uberaba        "," Setor Boqueirão"," Uberaba"," Curitiba"," 81.570-180"," Rua Pe. Julio Saavedra, nº 170"," (41) 3276-1043"," Paraná"," paroquia.spa@mitradecuritiba.org.br"
"         Capelania da Aéronautica        "," Setor Cabral"," Bacacheri"," Curitiba"," 82.510-901"," Av. Pref. Erasto Gaertner, nº 1000"," (41) 3251-5223"," Paraná"," capelania@cindacta2.gov.br"
"         Cristo Rei – Cristo Rei        "," Setor Cabral"," Cristo Rei"," Curitiba"," 80.050-270"," Rua Padre Germano Mayer, nº 410"," (41) 3262-7084 Fax: (41) 3262-7084"," Paraná"," cristorei@mitradecuritiba.org.br"
"         Nossa Senhora de Nazaré – Boa Vista        "," Setor Cabral"," Boa Vista"," Curitiba"," 82.650-000"," Rua Fernando de Noronha, nº 2081"," (41) 3356-4737"," Paraná"," parnazare@mitradecuritiba.org.br"
"         Nossa Senhora Medianeira de Todas as Graças        "," Setor Cabral"," São Lourenço"," Curitiba"," 82.210-000"," Av. Anita Garibaldi, nº 2510"," (41) 3354-7297 Fax: (41) 3354-7297"," Paraná"," medianeira@mitradecuritiba.org.br"
"         Sagrados Corações de Jesus e Maria – Hugo Lange        "," Setor Cabral"," Hugo Lange"," Curitiba"," 80.040-230"," Rua Pres. Rodrigo Otavio, nº 1650"," (41) 3352-1224 Fax: (41) 3352-1224"," Paraná"," sagradoscoracoes@mitradecuritiba.org.br"
"         Santa Cruz e Santa Efigênia – V.sta.efigênia        "," Setor Cabral"," Barreirinha"," Curitiba"," 82.210-000"," Av. Anita Garibaldi, nº 4200"," (41) 3354-9214 Fax: (41) 3354-9214"," Paraná"," santaefigenia@mitradecuritiba.org.br"
"         Santo Agostinho – Ahú        "," Setor Cabral"," Ahú de Baixo"," Curitiba"," 80.540-280"," Rua Eurípedes Garcez do Nascimento, nº 1035"," (41) 3252-2224 Fax: (41) 3252-2224"," Paraná"," sto.agostinho@mitradecuritiba.org.br"
"         São João Batista – Vila Tingui        "," Setor Cabral"," Vila Tingui"," Curitiba"," 82.620-030"," Rua Guilherme Ihienfeld, nº 1040"," (41) 3528-3223 Fax: (41) 3528-3223"," Paraná"," sjbtingui@mitradecuritiba.org.br"
"         São Pedro e São Paulo – Tingui        "," Setor Cabral"," Bairro Alto"," Curitiba"," 82.600-280"," Theodoro Gbur, nº 528"," (41) 3256-6641 Fax: (41) 3256-6641"," Paraná"," spedrospaulo@mitradecuritiba.org.br"
"         Senhor Bom Jesus – Cabral        "," Setor Cabral"," Juvevê"," Curitiba"," 80.035-010"," Bom Jesus, nº 159"," (41) 3252-2564 Fax: (41) 3253-2462"," Paraná"," paroquiadocabral@mitradecuritiba.org.br"
"         Nossa Senhora da Salette &#8211; Jardim Social        "," Cabral"," Jardim Social"," Curitiba"," 82.520-530"," Rua Lange de Morretes, 691"," (41) 3256-3625 Fax: (41) 3256-3625"," Paraná"," santuarionssalette@mitradecuritiba.org.br"
"         Santo Antônio &#8211; Boa Vista        "," Cabral"," Boa Vista"," Curitiba"," 82.510-000"," Av. Parana, 1939"," (41) 3257-6513 Fax: (41) 3257-6513"," Paraná"," stoantoniobv@mitradecuritiba.org.br"
"         Nossa Senhora Aparecida – Uberaba        "," Setor Cajuru"," Uberaba"," Curitiba"," 81.550-080"," Rua Augusto Steembock, nº 100"," (41) 3369-2143 Fax: (41) 3369-2143"," Paraná"," pnsau@mitradecuritiba.org.br"
"         Nossa Senhora do Rosário de Belém- Centenário        "," Setor Cajuru"," Vila Centenário"," Curitiba"," 82.960-020"," Rua Amador Bueno, nº 627"," (41) 3226-6544 Fax: (41) 3226-6544"," Paraná"," rosariodebelem@mitradecuritiba.org.br"
"         São José – Vila Oficinas        "," Setor Cajuru"," Vila Oficinas"," Curitiba"," 82.950-190"," Rua Raul de Oliveira, nº 185"," (41) 3266-4334 Fax: (41) 3266-4334"," Paraná"," saojoseoficinas@mitradecuritiba.org.br"
"         São Martinho de Lima – Vila Camargo        "," Setor Cajuru"," Vila camargo"," Curitiba"," 82.920-210"," Rua Natal, nº 1650"," (41) 3226-2310 Fax: (41) 3226-2310"," Paraná"," martinho@mitradecuritiba.org.br"
"         Nossa Senhora do Rosário de Fátima – Tarumã        "," Setor Cajuru"," Tarumã"," Curitiba"," 82.800-200"," Praça Cova da Iria, 3"," (41) 3266-5384 Fax: (41) 3266-5384 "," Paraná"," santuariofatima@mitradecuritiba.org.br"
"         São Benedito – Capão da Imbuia        "," Setor Cajuru"," Capão da Imbuia"," Curitiba"," 82.810-230"," Rua Frederico Stadler Junior, 441"," (41) 3266-1573 Fax: (41) 3266-1573"," Paraná"," paroquiasaobenedito@mitradecuritiba.org.br"
"         Santíssima Trindade &#8211; Vila Oficinas        "," Cajuru"," Vila Oficinas"," Curitiba"," 82.920-100"," Rua dos Ferroviários, 856"," (41) 3266-0796 Fax: (41) 3266-0796"," Paraná"," parsantissimatrindade@mitradecuritiba.org.br"
"         Menino Jesus – Porto Amazonas        "," Setor Campo Largo"," Centro"," Campo Largo"," 84.140-000"," Rua Manoel Ribas, nº 29"," (42) 3256-1939 Fax: (42) 3256-1939"," Paraná"," meninojesus@mitradecuritiba.org.br"
"         Nossa Senhora Aparecida – Campo Largo        "," Setor Campo Largo"," Nossa Senhora Aparecida"," Campo Largo"," 83.601-230"," Francisco Xavier de Almeida Garret, nº 2435"," (41) 3032-3065"," Paraná"," aparecidacl@mitradecuritiba.org.br"
"         Nossa Senhora da Anunciação – Col. Dom Pedro        "," Setor Campo Largo"," Colonia D. Pedro II"," Campo Largo"," 83.600-080"," Rod do Café, km 10,5"," (41) 3649-1462 Fax: (41) 3649-1462"," Paraná"," anunciacaodpedro@mitradecuritiba.org.br"
"         Nossa Senhora da Conceição – Palmeira        "," Setor Campo Largo"," Centro"," Palmeira"," 84.130-000"," Praça Marechal Floriano Peixoto, nº 112"," (42) 3252-1276 Fax: (42) 3252-1276"," Paraná"," nsconceicaopalmeira@mitradecuritiba.org.br"
"         Nossa Senhora da Piedade – Campo Largo        "," Setor Campo Largo"," Centro"," Campo Largo"," 83.601-030"," Rua Xv de Novembro, nº 1931"," (41) 3292-1765 Fax: (41) 3292-1765"," Paraná"," paroquiapiedade@mitradecuritiba.org.br"
"         Santa Cecília – Itaqui – Campo Largo        "," Setor Campo Largo"," Itaqui"," Campo Largo"," 83.604-270"," Rua Sergipe, nº 310"," (41) 3399-3007 Fax: (41) 3399-3007"," Paraná"," santacecilia@mitradecuritiba.org.br"
"         São Sebastião – Bateias        "," Setor Campo Largo"," Bateias"," Campo Largo"," 83.648-000"," Estrada do Cerne Km 30, nº 668"," (41) 3648-1214 Fax: (41) 3648-1214"," Paraná"," sebastiaobateias@mitradecuritiba.org.br"
"         Senhor Bom Jesus – Balsa Nova        "," Setor Campo Largo"," Centro"," Balsa Nova"," 83.650-000"," Av. Brasil, nº 22"," (41) 3636-1528 Fax: (41) 3636-1528"," Paraná"," balsasbj@mitradecuritiba.org.br"
"         Senhor Bom Jesus – Campo Largo da Piedade        "," Setor Campo Largo"," Centro"," Campo Largo"," 83.604-390"," Bom Jesus, nº 333"," (41) 3292-1925 Fax: (41) 3292-1925"," Paraná"," santuariosbj@mitradecuritiba.org.br"
"         São Sebastião &#8211; Rondinha        "," Campo Largo"," Rondinha"," Campo Largo"," 83.607-312"," Rua Padre Alcides Valentino Zanella, 650"," (41) 3555-1565 Fax: (41) 3555-1565"," Paraná"," rondinha@mitradecuritiba.org.br"
"         Nossa Senhora da Anunciação – Capão Raso        "," Setor Capão Raso"," Capão Raso"," Curitiba"," 81.130-160"," Rua Cap. Argemiro M. Wanderley, nº 377"," (41) 3246-3542 Fax: (41) 3246-3542"," Paraná"," anunciacaocp@mitradecuritiba.org.br"
"         Nossa Senhora da Cabeça – Capão Raso        "," Setor Capão Raso"," Cidade Industrial"," Curitiba"," 81.310-010"," Rua N. Sr.ª da Cabeça, 11"," (41) 3248-9110 Fax: (41) 3246-7351"," Paraná"," paroquia.cabeca@mitradecuritiba.org.br"
"         Nossa Senhora da Luz – CIC        "," Setor Capão Raso"," Cidade Industrial"," Curitiba"," 81.305-690"," Praça Enoch Araújo Ramos, s/nº"," (41) 3246-2264"," Paraná"," luzcic@mitradecuritiba.org.br"
"         Sant’ana – Campo de Sant’Ana        "," Setor Capão Raso"," Campo Sant'ana"," Curitiba"," 81.490-000"," Estr. Delegado Bruno de Almeida, 2565"," (41) 3396-3660 Fax: (41) 3396-3660"," Paraná"," santana.95@mitradecuritiba.org.br"
"         Santa Amélia – Santa Amélia        "," Setor Capão Raso"," Fazendinha"," Curitiba"," 81.330-400"," Rua Alcir Martins Bastos, 510"," (41) 3288-2651 Fax: (41) 3288-2651"," Paraná"," parsantaamelia@mitradecuritiba.org.br"
"         São José – Capão Raso        "," Setor Capão Raso"," Capão Raso"," Curitiba"," 81.110-020"," Largo Pe. Albino Vicco, 32"," (41) 3027-1051 Fax: (41) 3027-1051"," Paraná"," sjosecraso@mitradecuritiba.org.br"
"         São Miguel – Fanny        "," Setor Capão Raso"," Vila Fanny"," Curitiba"," 81.030-330"," Rua Padre Manoel da Nóbrega, 1575"," (41) 3246-1124 Fax: (41) 3246-1124"," Paraná"," miguel@mitradecuritiba.org.br"
"         Santa Rita de Cássia &#8211; Tatuquara        "," Capão Raso "," Tatuquara "," Curitiba"," 81.480-246"," Rua Arcésio de Barros Lima, 471 "," (41) 3088-3556 "," Paraná"," santarita.tatuquara@mitradecuritiba.org.br"
"         Paróquia Sagrada Família &#8211; CIC        "," Setor Capão Raso","  Cidade Industrial"," Curitiba","  81170-350 "," Rua Desembargador Cid Campelo, 3980"," 9 87505111"," Paraná"," sagradafamiliacic@mitradecuritiba.org.br"
"         Capelania da Policia Militar        "," Setor Centro"," Centro"," Curitiba"," 80.230-110"," Rua Marechal Floriano Peixoto, 2057"," (41) 3333-0553"," Paraná"," pa.teacher.pm@gmail.com"
"         Divino Espirito Santo – Centro Cívico        "," Setor Centro"," Centro Cívico"," Curitiba"," 80.530-010"," Rua Mateus Leme, 1855"," (41) 3121-1754  Fax: (41) 3121-1754"," Paraná"," paroquiadodivino@mitradecuritiba.org.br"
"         Igreja da Ordem – Centro        "," Setor Centro"," Centro"," Curitiba"," 80. 510 - 190"," Rua Mateus Leme, 1"," (41) 3223-7545 Fax: (41) 3223-7545"," Paraná"," igrordemsf@mitradecuritiba.org.br"
"         Igreja do Rosário – Santuário das Almas        "," Setor Centro"," Centro"," Curitiba"," 80.010-030"," Praça Garibaldi"," (41) 3322-3150  Fax: (41) 3322-3150"," Paraná"," igrejarosario@mitradecuritiba.org.br"
"         Nossa Senhora da Luz dos Pinhais – Catedral        "," Setor Centro"," Centro"," Curitiba"," 80.020-180"," Rua Barão do Cerro Azul, n° 31"," (41) 3324-5136 Fax: (41) 3323-4686"," Paraná"," catedralbasilica@mitradecuritiba.org.br"
"         Nossa Senhora de Guadalupe        "," Setor Centro"," Centro"," Curitiba"," 80.010-210"," Praça Senador Corrêa, 128"," (41) 3233-4884 Fax: (41) 3232-3382"," Paraná"," santuarionsguadalupe@mitradecuritiba.org.br"
"         Nossa Senhora do Perpetuo Socorro – Alto da Glória        "," Setor Centro"," Alto da Glória"," Curitiba"," 80.030-170"," Praça Portugal, s/nº"," (41) 3253-2031 Fax: (41) 3253-2031"," Paraná"," nsps27@mitradecuritiba.org.br"
"         Santo Estanislau        "," Setor Centro"," Centro"," Curitiba"," 80.420-080"," Rua Emiliano Perneta, 441"," (41) 3223-4564 Fax: (41) 3223-4564"," Paraná"," santoestanislau@mitradecuritiba.org.br"
"         São Vicente de Paulo        "," Setor Centro"," Alto São Francisco"," Curitiba"," 80.510-010"," Av. Jaime Reis, 531"," (41) 3222-7301 Fax: (41) 3222-7301"," Paraná"," vicentedepaulo@mitradecuritiba.org.br"
"         Senhor Bom Jesus – Centro        "," Setor Centro"," Centro"," Curitiba"," 80.010-030"," Praça Rui Barbosa, 149"," (41) 3281-7700"," Paraná"," bjperdoes@mitradecuritiba.org.br"
"         Imaculada Conceição – Atuba        "," Setor Colombo"," Atuba"," Curitiba"," 83.408-280"," Rua Abel Scuissiato, 2980"," (41) 3675-6436 Fax: (41) 3675-6436"," Paraná"," imaculadacwb@mitradecuritiba.org.br"
"         Nossa Senhora da Saúde – Colônia Faria        "," Setor Colombo"," Colonia Pres. Faria"," Colombo"," 83.411-050"," Rua Presidente Faria, 3423"," (41) 3666-4313 Fax: (41) 3666-4313"," Paraná"," paroquiacoloniafaria@mitradecuritiba.org.br"
"         Nossa Senhora do Rosário – Colombo        "," Setor Colombo"," Centro"," Colombo"," 83.414-290"," Rua Francisco Busato, 8114"," (41) 3656-3734 Fax: (41) 3656-3734"," Paraná"," rosariocolombo@mitradecuritiba.org.br"
"         Sagrada Família – Alto Maracanã – Colombo        "," Setor Colombo"," Alto Maracanã"," Colombo"," 83.409-310"," Rua Manoel Bandeira, 562"," (41) 3663-3691 Fax: (41) 3663-3691"," Paraná"," sagradacolombo@mitradecuritiba.org.br"
"         Santa Cândida        "," Setor Colombo"," Santa Cândida"," Curitiba"," 82.630-010"," Rua Pe. Joao Wislinski, 755"," (41) 3357-8216 Fax: (41) 3357-8216"," Paraná"," pscandida@mitradecuritiba.org.br"
"         Senhor Bom Jesus – Colombo        "," Setor Colombo"," São Gabriel"," Colombo"," 83.403-590"," Paulo Scrock, 369"," (41) 3537-1369"," Paraná"," psbjcolombo@mitradecuritiba.org.br"
"         Santa Teresinha de Lisieux &#8211; Guaraituba        "," Colombo"," Guaraituba"," Colombo"," 83.408-600"," Av. Marginal Direita, 958"," (41) 3666-3145 Fax: (41) 3666-3145"," Paraná"," lisieux@mitradecuritiba.org.br"
"         Nossa Senhora Aparecida – Seminário        "," Setor Mercês"," Barigui do Seminário"," Curitiba"," 80.310-100"," Av. Nossa Aparecida, 1637"," (41) 3274-3477 Fax: (41) 3274-3477"," Paraná"," pnsa036@mitradecuritiba.org.br"
"         Nossa Senhora das Dores – Bigorrilho        "," Setor Mercês"," Bigorrilho"," Curitiba"," 80.730-080"," Alameda Princesa Isabel, 1840"," (41) 3336-8755 Fax: (41) 3336-8755"," Paraná"," passarinhos@mitradecuritiba.org.br"
"         Nossa Senhora das Mercês        "," Setor Mercês"," Mercês"," Curitiba"," 80.810-000"," Av. Manoel Ribas, 966"," (41) 3335-5752 "," Paraná"," merces@mitradecuritiba.org.br"
"         Santa Luzia – São Nicolau        "," Setor Mercês"," Barigui das Mercês"," Curitiba"," 80.710-600"," Rua Gal. Agostinho Pereira Alves Filho, 529"," (41) 3339-4665 Fax: (41) 3339-4665"," Paraná"," santaluziacuritiba@mitradecuritiba.org.br"
"         Santa Maria Goretti – Jard. Schaffer        "," Setor Mercês"," Jardim Schaffer"," Curitiba"," 80.520-280"," Rua Coronel João Guilherme Guimarães, 2000"," (41) 3338-6320 Fax: (41) 3338-6320"," Paraná"," smgoretti@mitradecuritiba.org.br"
"         São Francisco de Paula – Centro        "," Setor Mercês"," Centro"," Curitiba"," 80.430-200"," Rua Desembargador Motta, 2500"," (41) 3223-7924 Fax: (41) 3223-7924"," Paraná"," sfpaula@mitradecuritiba.org.br"
"         São Pio X – Seminário        "," Setor Mercês"," Seminário"," Curitiba"," 80.440-070"," Hermes Fontes, 1073"," (41) 3244-4463 Fax: (41) 3244-4463"," Paraná"," spiox@mitradecuritiba.org.br"
"         Santa Teresinha do Menino Jesus        "," Mercês"," Batel"," Curitiba"," 80.240-010 "," Av. Visconde de Guarapuava, 4787"," (41) 3243-4171 Fax: (41) 3243-4171"," Paraná"," teresinha41@mitradecuritiba.org.br"
"         Santissimo Sacramento &#8211; Vila dos Bancários        "," Mercês"," Vila dos Bancários"," Curitiba"," 80.240-320"," Rua Leôncio Correia, 381"," (41) 3242-5567 Fax: (41) 3242-5567"," Paraná"," santissimo.sacramento@mitradecuritiba.org.br"
"         Cristo Ressuscitado – Campo Comprido        "," Setor Orleans - Campo Comprido"," Campo Comprido"," Curitiba"," 81.220-100"," Rua Luiz Zilli, 80"," (41) 3274-9883 Fax: (41) 3274-9883"," Paraná"," pcr@mitradecuritiba.org.br"
"         Nossa Senhora de Lourdes – Campo Comprido        "," Setor Orleans - Campo Comprido"," Campo Comprido"," Curitiba"," 81.210-370"," Rua Eduardo Sprada, 3640"," (41) 3373-2725 Fax: (41) 3373-2725"," Paraná"," lourdes56@mitradecuritiba.org.br"
"         Santo Antônio – Orleans        "," Setor Orleans - Campo Comprido"," Orleans"," Curitiba"," 82.305-100"," Rodovia do Café, km 4"," (41) 3285-4101 Fax: (41) 3285-4101"," Paraná"," secretariaorleans@mitradecuritiba.org.br"
"         São João Batista – Vila Sandra        "," Setor Orleans - Campo Comprido"," Vila Sandra"," Curitiba"," 81.230-161"," Rua Luiz Tramontin, 2570"," (41) 3373-2499"," Paraná"," matrizsjb@mitradecuritiba.org.br"
"         São João Batista Precursor – Ecoville        "," Setor Orleans - Campo Comprido"," Ecoville"," Curitiba"," 81.200-070"," Rua Dominos Imbronizio, 100"," (41) 3373-1349 Fax: (41) 3373-1349"," Paraná"," sjbprecursor@mitradecuritiba.org.br"
"         São José Trabalhador – Campina do Siqueira        "," Setor Orleans - Campo Comprido"," Campina do Siqueira"," Curitiba"," 80.740-340"," Rua Major Heitor Guimarães, 1526"," (41) 3336-9550"," Paraná"," psjt_secretaria@mitradecuritiba.org.br"
"         Senhor Bom Jesus        "," Setor Orleans - Campo Comprido"," Ferraria"," Campo Largo"," 83.609-800"," Mato Grosso, 7900"," (41) 3649-4658"," Paraná"," paroquiaferraria@mitradecuritiba.org.br"
"         Santa Edwiges – Cic        "," Setor Orleans-campo Comprido"," Conjunto Caiua - Cic"," Curitiba"," 81.260-080"," Rua Ulisses Aurelio Visinoni, 550"," (41) 3249-4640 Fax: (41) 3249-4640"," Paraná"," santaedwiges@mitradecuritiba.org.br"
"         São Rafael – Vila Santa Helena        "," Setor Orleans-campo Comprido"," Vila Santa Helena"," Curitiba"," 81.250-190"," Rua Darci Vargas, 2573"," (41) 3245-4898 Fax: (41) 3245-4898"," Paraná"," paroquiasaorafael@mitradecuritiba.org.br"
"         São Grato &#8211; Mossunguê        "," Orleans - Campo Comprido"," Mossunguê"," Curitiba"," 81.200-200"," Rua Grã Nicco, 545"," (41) 3373-0306 Fax: (41) 3373-0306"," Paraná"," saograto@mitradecuritiba.org.br"
"         Nossa Senhora do Equilíbrio        "," Orleans-campo Comprido "," Cidade Industrial "," Curitiba"," 81.280-020 "," Rua Amadeu Piotto, 590 "," (41) 3121-6634"," Paraná"," nsequilibrio@mitradecuritiba.org.br"
"         Maria Mãe da Igreja        "," Setor Pinhais"," Bairro Alto"," Curitiba"," 82.820-060"," Rua Gastão Luiz Cruls, 2235"," (41) 3367-2768 Fax: (41) 3367-2768"," Paraná"," pmmi@mitradecuritiba.org.br"
"         Nossa Senhora Aparecida – Jardim Weisópolis        "," Setor Pinhais"," Jardim Weissópolis"," Pinhais"," 83.322-160"," Rua Rio Iguaçu, 360"," (41) 3668-8344"," Paraná"," aparecidapinhais@mitradecuritiba.org.br"
"         Nossa Senhora da Boa Esperança – Pinhais        "," Setor Pinhais"," Pinhais"," Pinhais"," 83.323-000"," Av. Camilo Di Lellis, 970"," (41) 3667-3008 Fax: (41) 3667-3008"," Paraná"," boaesperanca@mitradecuritiba.org.br"
"         Nossa Senhora da Luz – Vila Emiliano Perneta        "," Setor Pinhais"," Centro"," Pinhais"," 83.324-510"," Rua Jacob Macanhan, 709"," (41) 3668-1381 Fax: (41) 3668-7679"," Paraná"," pnsdaluzpinhais@mitradecuritiba.org.br"
"         Nossa Senhora da Saúde        "," Setor Pinhais"," Jardim Fenix"," Pinhais"," 83.326-370"," R. Calhandra, 1317"," (41) 3668-2830 Fax: (41) 3668-5433"," Paraná"," paroquiadasaudedepinhais@mitradecuritiba.org.br"
"         Santa Bertila – Alto Tarumã        "," Setor Pinhais"," Alto Tarumã"," Curitiba"," 82.820-120"," Rua José de Oliveira Franco, 2826"," (41) 3367-4198 Fax: (41) 3367-4198"," Paraná"," santabertila@mitradecuritiba.org.br"
"         Santa Madalena Sofia – Higienópolis        "," Setor Pinhais"," Higienópolis"," Curitiba"," 82.820-490"," Rua Santa Madalena Sofia Barat, 701"," (41) 3367-8812 Fax: (41) 3367-3492"," Paraná"," madalenasofia@mitradecuritiba.org.br"
"         São João Bosco – Bairro Alto        "," Setor Pinhais"," Bairro Alto"," Curitiba"," 82.840-220"," Rua Rio Japurá, 1277"," (41) 3367-2077 Fax: (41) 3367-2077"," Paraná"," dombosco@mitradecuritiba.org.br"
"         São José Operário &#8211; Vila Mª Antonieta        "," Pinhais"," Vila Maria Antonieta"," Pinhais"," 83.331-150"," Av. Antônio Andrade, 594"," (41) 3669-7454 Fax: (41) 3669-7454"," Paraná"," parsjo@mitradecuritiba.org.br"
"         Nossa Senhora Auxiliadora – Sítio Cercado        "," Setor Pinheirinho"," Sítio Cercado"," Curitiba"," 81.900-400"," Rua Arapongas, 1399"," (41) 3349-4925 Fax: (41) 3349-4925"," Paraná"," auxiliadora@mitradecuritiba.org.br"
"         Nossa Senhora do Sagrado Coração – Pinheirinho        "," Setor Pinheirinho"," Pinheirinho"," Curitiba"," 81.880-000"," Rua Nicola Pellanda, 545"," (41) 3349-1819 Fax: (41) 3349-1959"," Paraná"," nssc@mitradecuritiba.org.br"
"         Nossa Senhora Rainha dos Apóstolos – Pinheirinho        "," Setor Pinheirinho"," Pinheirinho"," Curitiba"," 81.870-260"," Rua João Malta Albuquerque Maranhão, 341"," (41) 3349-2464 Fax: (41) 3349-2464"," Paraná"," rainhadosapostolos@mitradecuritiba.org.br"
"         Profeta Elias – Sítio Cercado        "," Setor Pinheirinho"," Bairro Novo B"," Curitiba"," 81.925-300"," Rua Nova Aurora, 1340"," (41) 3564-2628"," Paraná"," ppelias@mitradecuritiba.org.br"
"         Santuário da Divina Misericórdia – Vila Futurama        "," Setor Pinheirinho"," Umbará"," Curitiba"," 81.930-010"," Rua Profeta Ezequiel, 54"," (41) 3348-2784 Fax: (41) 3348-2784"," Paraná"," divinamisericordia@mitradecuritiba.org.br"
"         São Francisco de Assis – Xaxim        "," Setor Pinheirinho"," Xaxim"," Curitiba"," 81.710-000"," Rua Francisco Derosso, 715"," (41) 3275-1213 Fax: (41) 3275-1541"," Paraná"," santuariosfa@mitradecuritiba.org.br"
"         São José das Famílias – Sítio Cercado        "," Setor Pinheirinho"," Sítio Cercado"," Curitiba"," 81.910-190"," Rua Dr. Levy Buquera, 150"," (41) 3378-8032 Fax: (41) 3378-8032"," Paraná"," psjfamilias@mitradecuritiba.org.br"
"         São Lucas e Nossa Senhora do Carmo – Xaxim        "," Setor Pinheirinho"," Xaxim"," Curitiba"," 81.830-080"," Rua Constantino José de Almeida, 329"," (41) 3275-7832"," Paraná"," par.saolucas@brturbo.com.br"
"         São Pedro – Umbará        "," Setor Pinheirinho"," Umbará"," Curitiba"," 81.940-305"," Rua Nicola Pelanda, 5000"," (41) 3348-1612 Fax: (41) 3348-1612"," Paraná"," carlossaopedro@mitradecuritiba.org.br"
